16:06:02.013 [main] INFO  glotov.multithreading.factory.ShipFactory - Creating ship with ID: 1393
16:06:02.014 [main] INFO  glotov.multithreading.factory.ShipFactory - Creating ship with ID: 9861
16:06:02.015 [main] INFO  glotov.multithreading.factory.ShipFactory - Creating ship with ID: 1482
16:06:02.016 [main] INFO  glotov.multithreading.factory.ShipFactory - Creating ship with ID: 1673
16:06:02.016 [main] INFO  glotov.multithreading.factory.ShipFactory - Creating ship with ID: 8535
16:06:02.017 [main] INFO  glotov.multithreading.factory.ShipFactory - Creating ship with ID: 6655
16:06:02.017 [main] INFO  glotov.multithreading.factory.ShipFactory - Creating ship with ID: 5326
16:06:02.017 [main] INFO  glotov.multithreading.factory.ShipFactory - Creating ship with ID: 4577
16:06:02.018 [main] INFO  glotov.multithreading.factory.ShipFactory - Creating ship with ID: 4256
16:06:02.019 [pool-2-thread-3] INFO  glotov.multithreading.entity.Ship - Ship 9861 docked at the port.
16:06:02.019 [pool-2-thread-1] INFO  glotov.multithreading.entity.Ship - Ship 7043 docked at the port.
16:06:02.019 [pool-2-thread-2] INFO  glotov.multithreading.entity.Ship - Ship 1393 docked at the port.
16:06:02.030 [pool-2-thread-3] INFO  glotov.multithreading.entity.Ship - Get activity for ship 9861: UNLOAD_AND_LOAD
16:06:02.030 [pool-2-thread-1] INFO  glotov.multithreading.entity.Ship - Get activity for ship 7043: UNLOAD_AND_LOAD
16:06:02.032 [pool-2-thread-2] INFO  glotov.multithreading.entity.Ship - Get activity for ship 1393: LOAD
16:06:02.045 [pool-2-thread-3] INFO  glotov.multithreading.entity.Port - Unloaded from ship 9861: 256 containers. Available containers: 3256
16:06:02.045 [pool-2-thread-2] INFO  glotov.multithreading.entity.Port - Loaded to ship 1393: 55 containers. Available containers: 3431
16:06:02.046 [pool-2-thread-3] INFO  glotov.multithreading.entity.Port - Loaded to ship 9861: 364 containers. Available containers: 3067
16:06:02.045 [pool-2-thread-1] INFO  glotov.multithreading.entity.Port - Unloaded from ship 7043: 230 containers. Available containers: 3486
16:06:02.046 [pool-2-thread-1] INFO  glotov.multithreading.entity.Port - Loaded to ship 7043: 348 containers. Available containers: 2719
16:06:02.133 [pool-2-thread-3] INFO  glotov.multithreading.entity.Ship - Ship 9861left the port. Current load: 418
16:06:02.134 [pool-2-thread-3] INFO  glotov.multithreading.entity.Ship - Ship 1482 docked at the port.
16:06:02.134 [pool-2-thread-3] INFO  glotov.multithreading.entity.Ship - Get activity for ship 1482: LOAD
16:06:02.135 [pool-2-thread-3] INFO  glotov.multithreading.entity.Port - Loaded to ship 1482: 39 containers. Available containers: 2680
16:06:02.195 [pool-2-thread-2] INFO  glotov.multithreading.entity.Ship - Ship 1393left the port. Current load: 771
16:06:02.195 [pool-2-thread-2] INFO  glotov.multithreading.entity.Ship - Ship 1673 docked at the port.
16:06:02.196 [pool-2-thread-2] INFO  glotov.multithreading.entity.Ship - Get activity for ship 1673: UNLOAD_AND_LOAD
16:06:02.196 [pool-2-thread-2] INFO  glotov.multithreading.entity.Port - Unloaded from ship 1673: 716 containers. Available containers: 3396
16:06:02.196 [pool-2-thread-2] INFO  glotov.multithreading.entity.Port - Loaded to ship 1673: 1340 containers. Available containers: 2056
16:06:02.338 [pool-2-thread-2] INFO  glotov.multithreading.entity.Ship - Ship 1673left the port. Current load: 1431
16:06:02.338 [pool-2-thread-2] INFO  glotov.multithreading.entity.Ship - Ship 8535 docked at the port.
16:06:02.339 [pool-2-thread-2] INFO  glotov.multithreading.entity.Ship - Get activity for ship 8535: UNLOAD
16:06:02.340 [pool-2-thread-2] INFO  glotov.multithreading.entity.Port - Unloaded from ship 8535: 346 containers. Available containers: 2402
16:06:02.609 [pool-2-thread-1] INFO  glotov.multithreading.entity.Ship - Ship 7043left the port. Current load: 892
16:06:02.610 [pool-2-thread-1] INFO  glotov.multithreading.entity.Ship - Ship 6655 docked at the port.
16:06:02.610 [pool-2-thread-1] INFO  glotov.multithreading.entity.Ship - Get activity for ship 6655: LOAD
16:06:02.611 [pool-2-thread-1] INFO  glotov.multithreading.entity.Port - Loaded to ship 6655: 140 containers. Available containers: 2262
16:06:02.986 [pool-2-thread-1] INFO  glotov.multithreading.entity.Ship - Ship 6655left the port. Current load: 337
16:06:02.986 [pool-2-thread-1] INFO  glotov.multithreading.entity.Ship - Ship 5326 docked at the port.
16:06:02.986 [pool-2-thread-1] INFO  glotov.multithreading.entity.Ship - Get activity for ship 5326: UNLOAD
16:06:02.987 [pool-2-thread-1] INFO  glotov.multithreading.entity.Port - Unloaded from ship 5326: 856 containers. Available containers: 3118
16:06:03.088 [pool-2-thread-3] INFO  glotov.multithreading.entity.Ship - Ship 1482left the port. Current load: 40
16:06:03.088 [pool-2-thread-3] INFO  glotov.multithreading.entity.Ship - Ship 4577 docked at the port.
16:06:03.089 [pool-2-thread-3] INFO  glotov.multithreading.entity.Ship - Get activity for ship 4577: UNLOAD
16:06:03.089 [pool-2-thread-3] INFO  glotov.multithreading.entity.Port - Unloaded from ship 4577: 608 containers. Available containers: 3726
16:06:03.234 [pool-2-thread-2] INFO  glotov.multithreading.entity.Ship - Ship 8535left the port. Current load: 115
16:06:03.234 [pool-2-thread-2] INFO  glotov.multithreading.entity.Ship - Ship 4256 docked at the port.
16:06:03.235 [pool-2-thread-2] INFO  glotov.multithreading.entity.Ship - Get activity for ship 4256: UNLOAD_AND_LOAD
16:06:03.235 [pool-2-thread-2] INFO  glotov.multithreading.entity.Port - Unloaded from ship 4256: 42 containers. Available containers: 3768
16:06:03.235 [pool-2-thread-2] INFO  glotov.multithreading.entity.Port - Loaded to ship 4256: 256 containers. Available containers: 3512
16:06:03.238 [pool-2-thread-2] INFO  glotov.multithreading.entity.Ship - Ship 4256left the port. Current load: 261
16:06:03.822 [pool-2-thread-3] INFO  glotov.multithreading.entity.Ship - Ship 4577left the port. Current load: 67
16:06:03.915 [pool-2-thread-1] INFO  glotov.multithreading.entity.Ship - Ship 5326left the port. Current load: 103
17:49:16.644 [main] INFO  glotov.multithreading.factory.ShipFactory - Creating ship with ID: 9352
17:49:16.651 [main] INFO  glotov.multithreading.factory.ShipFactory - Creating ship with ID: 9284
17:49:16.651 [main] INFO  glotov.multithreading.factory.ShipFactory - Creating ship with ID: 8117
17:49:16.652 [main] INFO  glotov.multithreading.factory.ShipFactory - Creating ship with ID: 4106
17:49:16.652 [main] INFO  glotov.multithreading.factory.ShipFactory - Creating ship with ID: 7339
17:49:16.652 [main] INFO  glotov.multithreading.factory.ShipFactory - Creating ship with ID: 4610
17:49:16.652 [pool-2-thread-2] INFO  glotov.multithreading.entity.Ship - Ship 9284 docked at the port.
17:49:16.652 [pool-2-thread-1] INFO  glotov.multithreading.entity.Ship - Ship 9352 docked at the port.
17:49:16.652 [pool-2-thread-3] INFO  glotov.multithreading.entity.Ship - Ship 8117 docked at the port.
17:49:16.653 [main] INFO  glotov.multithreading.factory.ShipFactory - Creating ship with ID: 7879
17:49:16.653 [main] INFO  glotov.multithreading.factory.ShipFactory - Creating ship with ID: 6449
17:49:16.653 [main] INFO  glotov.multithreading.factory.ShipFactory - Creating ship with ID: 7874
17:49:16.653 [main] INFO  glotov.multithreading.factory.ShipFactory - Creating ship with ID: 9125
17:49:16.658 [pool-2-thread-2] INFO  glotov.multithreading.entity.Ship - Get activity for ship 9284: LOAD
17:49:16.658 [pool-2-thread-3] INFO  glotov.multithreading.entity.Ship - Get activity for ship 8117: UNLOAD_AND_LOAD
17:49:16.658 [pool-2-thread-1] INFO  glotov.multithreading.entity.Ship - Get activity for ship 9352: UNLOAD_AND_LOAD
17:49:16.667 [pool-2-thread-1] INFO  glotov.multithreading.entity.Port - Unloaded from ship 9352: 1000 containers. Available containers: 4000
17:49:16.667 [pool-2-thread-2] INFO  glotov.multithreading.entity.Port - Loaded to ship 9284: 128 containers. Available containers: 3872
17:49:16.667 [pool-2-thread-3] INFO  glotov.multithreading.entity.Port - Unloaded from ship 8117: 52 containers. Available containers: 3924
17:49:16.667 [pool-2-thread-1] INFO  glotov.multithreading.entity.Port - Loaded to ship 9352: 418 containers. Available containers: 3506
17:49:16.667 [pool-2-thread-3] INFO  glotov.multithreading.entity.Port - Loaded to ship 8117: 974 containers. Available containers: 2532
17:49:16.726 [pool-2-thread-1] INFO  glotov.multithreading.entity.Ship - Ship 9352left the port. Current load: 674
17:49:16.726 [pool-2-thread-1] INFO  glotov.multithreading.entity.Ship - Ship 4106 docked at the port.
